Iteration,Best Fitness,Time
0,68116.97449750513,0.0011377334594726562
1,68116.97449750513,0.0011377334594726562
2,68116.97449750513,0.0021369457244873047
3,68116.97449750513,0.0021369457244873047
4,68116.97449750513,0.002651214599609375
5,68116.97449750513,0.002651214599609375
6,68116.97449750513,0.002651214599609375
7,68116.97449750513,0.002651214599609375
8,68116.97449750513,0.002651214599609375
9,68116.97449750513,0.003657817840576172
10,68116.97449750513,0.003657817840576172
11,68116.97449750513,0.003657817840576172
12,68116.97449750513,0.004727602005004883
13,68116.97449750513,0.004727602005004883
14,68116.97449750513,0.004727602005004883
15,68116.97449750513,0.004727602005004883
16,68116.97449750513,0.004727602005004883
17,68116.97449750513,0.004727602005004883
18,68116.97449750513,0.004727602005004883
19,68116.97449750513,0.004727602005004883
20,68116.97449750513,0.006232261657714844
21,68116.97449750513,0.006232261657714844
22,56966.34331954055,0.006232261657714844
23,56966.34331954055,0.006232261657714844
24,56966.34331954055,0.006232261657714844
25,56966.34331954055,0.007324695587158203
26,56966.34331954055,0.007324695587158203
27,56966.34331954055,0.007324695587158203
28,56966.34331954055,0.007324695587158203
29,56966.34331954055,0.007324695587158203
30,56966.34331954055,0.008319616317749023
31,56966.34331954055,0.008319616317749023
32,56966.34331954055,0.008319616317749023
33,56966.34331954055,0.008319616317749023
34,56966.34331954055,0.008319616317749023
35,56966.34331954055,0.009488344192504883
36,56966.34331954055,0.009488344192504883
37,56966.34331954055,0.009488344192504883
38,56966.34331954055,0.009488344192504883
39,56966.34331954055,0.009488344192504883
40,56966.34331954055,0.009488344192504883
41,56966.34331954055,0.010495662689208984
42,56966.34331954055,0.010495662689208984
43,56966.34331954055,0.010495662689208984
44,56966.34331954055,0.010495662689208984
45,56966.34331954055,0.010495662689208984
46,56966.34331954055,0.010495662689208984
47,56966.34331954055,0.010495662689208984
48,56966.34331954055,0.010495662689208984
49,56966.34331954055,0.012004852294921875
50,56966.34331954055,0.012004852294921875
51,56966.34331954055,0.012004852294921875
52,56966.34331954055,0.013007879257202148
53,56966.34331954055,0.013007879257202148
54,56966.34331954055,0.013007879257202148
55,56966.34331954055,0.013512611389160156
56,56966.34331954055,0.013512611389160156
57,56966.34331954055,0.013512611389160156
58,56966.34331954055,0.013512611389160156
59,56966.34331954055,0.013512611389160156
60,56966.34331954055,0.014513492584228516
61,56966.34331954055,0.014513492584228516
62,52951.412674610736,0.014513492584228516
63,49774.72341387604,0.01564335823059082
64,49774.72341387604,0.01564335823059082
65,49774.72341387604,0.01564335823059082
66,49774.72341387604,0.01564335823059082
67,49774.72341387604,0.01564335823059082
68,49774.72341387604,0.01564335823059082
69,49774.72341387604,0.01679205894470215
70,49774.72341387604,0.01679205894470215
71,49774.72341387604,0.01679205894470215
72,49774.72341387604,0.01779007911682129
73,49774.72341387604,0.01779007911682129
74,49774.72341387604,0.01830291748046875
75,49774.72341387604,0.01830291748046875
76,49774.72341387604,0.01830291748046875
77,49774.72341387604,0.01830291748046875
78,49774.72341387604,0.01830291748046875
79,49774.72341387604,0.019316911697387695
80,49774.72341387604,0.019316911697387695
81,49774.72341387604,0.020325660705566406
82,49774.72341387604,0.020325660705566406
83,49774.72341387604,0.020325660705566406
84,49774.72341387604,0.020325660705566406
85,49774.72341387604,0.020325660705566406
86,49774.72341387604,0.020325660705566406
87,49774.72341387604,0.020325660705566406
88,49774.72341387604,0.02183055877685547
89,49774.72341387604,0.02183055877685547
90,49636.41657775458,0.02183055877685547
91,49636.41657775458,0.02283334732055664
92,49636.41657775458,0.02283334732055664
93,49636.41657775458,0.02283334732055664
94,49636.41657775458,0.02340412139892578
95,49636.41657775458,0.02340412139892578
96,49636.41657775458,0.02340412139892578
97,49636.41657775458,0.02340412139892578
98,49636.41657775458,0.024420738220214844
99,49636.41657775458,0.024420738220214844
100,49636.41657775458,0.024420738220214844
101,49636.41657775458,0.024420738220214844
102,49636.41657775458,0.025583744049072266
103,49636.41657775458,0.025583744049072266
104,49636.41657775458,0.025583744049072266
105,49398.34324469629,0.025583744049072266
106,43937.03983931949,0.025583744049072266
107,43937.03983931949,0.026651859283447266
108,39898.44783777859,0.026651859283447266
109,39898.44783777859,0.026651859283447266
110,39898.44783777859,0.026651859283447266
111,39898.44783777859,0.027590036392211914
112,39898.44783777859,0.027590036392211914
113,23912.110818383793,0.027590036392211914
114,23912.110818383793,0.02879929542541504
115,23912.110818383793,0.02879929542541504
116,23912.110818383793,0.02879929542541504
117,23912.110818383793,0.02879929542541504
118,23912.110818383793,0.029816389083862305
119,23912.110818383793,0.029816389083862305
120,23912.110818383793,0.029816389083862305
121,23912.110818383793,0.029816389083862305
122,23912.110818383793,0.031297922134399414
123,23912.110818383793,0.031297922134399414
124,23912.110818383793,0.031297922134399414
125,23912.110818383793,0.03187823295593262
126,23912.110818383793,0.03187823295593262
127,23912.110818383793,0.0324702262878418
128,23912.110818383793,0.0324702262878418
129,23912.110818383793,0.0324702262878418
130,23912.110818383793,0.0324702262878418
131,23912.110818383793,0.0337529182434082
132,23912.110818383793,0.0337529182434082
133,23912.110818383793,0.03487730026245117
134,23912.110818383793,0.03487730026245117
135,23912.110818383793,0.03487730026245117
136,23912.110818383793,0.03487730026245117
137,23912.110818383793,0.03595232963562012
138,23912.110818383793,0.03595232963562012
139,23912.110818383793,0.03595232963562012
140,23912.110818383793,0.03595232963562012
141,23912.110818383793,0.037461042404174805
142,23912.110818383793,0.037461042404174805
143,23912.110818383793,0.03861260414123535
144,23912.110818383793,0.03861260414123535
145,23912.110818383793,0.03861260414123535
