Benchmark,Mean_Fitness,Std_Fitness,Min_Fitness,Max_Fitness,Median_Fitness,Mean_Time_sec,Total_Time_sec
Sphere,2997.354427677211,740.6937983602348,1989.7520741728451,4224.791881926999,2938.503652511775,0.009651565551757812,0.04825782775878906
Rastrigin,283.75920896842206,7.5263223259890895,274.9868731717887,297.58279155476737,282.91409968411585,0.012469911575317382,0.062349557876586914
Rosenbrock,3146.598912414534,1148.9779049491833,2177.569594620482,5267.454084208875,2727.54513711187,0.015135097503662109,0.07567548751831055
