Generation,Run_1,Run_2,Run_3,Run_4,Run_5
0,297.8739880454082,302.97959850340135,335.45061372010883,328.916029460603,312.59576444606057
1,297.8739880454082,302.97959850340135,323.369680465456,328.916029460603,312.59576444606057
2,297.8739880454082,302.97959850340135,323.369680465456,300.1617222636623,312.59576444606057
3,297.8739880454082,302.97959850340135,323.369680465456,300.1617222636623,312.59576444606057
4,297.8739880454082,302.97959850340135,323.369680465456,300.1617222636623,312.59576444606057
5,297.8739880454082,302.97959850340135,323.369680465456,300.1617222636623,312.59576444606057
6,297.8739880454082,302.97959850340135,323.369680465456,300.1617222636623,312.59576444606057
7,297.8739880454082,302.97959850340135,323.369680465456,300.1617222636623,312.59576444606057
8,297.8739880454082,302.97959850340135,314.80480224024313,300.1617222636623,312.59576444606057
9,297.8739880454082,302.97959850340135,314.80480224024313,300.1617222636623,312.59576444606057
10,297.8739880454082,302.97959850340135,314.80480224024313,300.1617222636623,312.59576444606057
11,297.8739880454082,302.97959850340135,308.32022470130664,300.1617222636623,312.59576444606057
12,297.8739880454082,302.97959850340135,308.32022470130664,300.1617222636623,312.59576444606057
13,297.8739880454082,302.97959850340135,308.32022470130664,300.1617222636623,312.59576444606057
14,297.8739880454082,302.97959850340135,308.32022470130664,300.1617222636623,312.59576444606057
15,297.8739880454082,302.97959850340135,303.7490456089449,300.1617222636623,312.59576444606057
16,297.8739880454082,302.97959850340135,303.7490456089449,300.1617222636623,312.59576444606057
17,297.8739880454082,302.97959850340135,298.79082695748775,293.5182552674144,295.15896091075257
18,295.5826643567347,302.97959850340135,298.79082695748775,293.5182552674144,295.15896091075257
19,295.5826643567347,302.97959850340135,298.79082695748775,293.5182552674144,295.15896091075257
20,295.5826643567347,302.97959850340135,283.3327919182792,293.5182552674144,295.15896091075257
21,295.5826643567347,297.58279155476737,283.3327919182792,293.5182552674144,295.15896091075257
22,295.5826643567347,297.58279155476737,283.3327919182792,293.5182552674144,295.15896091075257
23,295.5826643567347,297.58279155476737,283.3327919182792,293.5182552674144,295.15896091075257
24,295.5826643567347,297.58279155476737,283.3327919182792,293.5182552674144,295.15896091075257
25,295.5826643567347,297.58279155476737,283.3327919182792,293.5182552674144,295.15896091075257
26,274.9868731717887,297.58279155476737,283.3327919182792,293.5182552674144,295.15896091075257
27,274.9868731717887,297.58279155476737,283.3327919182792,293.5182552674144,295.15896091075257
28,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,295.15896091075257
29,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
30,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
31,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
32,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
33,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
34,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
35,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
36,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
37,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
38,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
39,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
40,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
41,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
42,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
43,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
44,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
45,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
46,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
47,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
48,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
49,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
50,274.9868731717887,297.58279155476737,283.3327919182792,279.97948851315925,282.91409968411585
