Benchmark,Mean_Fitness,Std_Fitness,Min_Fitness,Max_Fitness,Median_Fitness,Mean_Time_sec,Total_Time_sec
Sphere,2763.934384816195,702.1847342166017,1844.8598307006505,3875.75410310657,2708.4425510406045,0.007449674606323242,0.03724837303161621
Rastrigin,273.5368314118107,7.571773116301366,259.6994636418661,280.5018750298969,277.34710271655865,0.010397672653198242,0.05198836326599121
Rosenbrock,3592.585333006301,685.311007576736,2894.481868470966,4700.788492857293,3339.994276278702,0.012398862838745117,0.061994314193725586
