Experiment Info,
Function,sphere
Dimensions,30
Runs per Algorithm,10
Population Size,50
Max Iterations,1000
""
Algorithm,Best,Mean,Std Dev,Worst
DErand1bin,352.80124694519185,793.4081803530689,442.697873243336,1795.3564074391595
DEbest1bin,3.3461429246483664e-12,2.943732790016168e-11,2.7646105485022228e-11,9.914675488854792e-11
DEcurrentToBest1bin,3.5358246988829635e-14,5.004567260835753e-13,7.928274616306349e-13,2.6172789510561587e-12
DErand2bin,49409.82771589872,54717.10009043274,3234.437242893872,59819.84542510521
