Benchmark,Mean_Fitness,Std_Fitness,Min_Fitness,Max_Fitness,Median_Fitness,Mean_Time_sec,Total_Time_sec
Sphere,2563.29861338343,384.073928181492,1932.4989690604912,3020.279407579434,2673.1937181121543,0.009477567672729493,0.04738783836364746
Rastrigin,273.4032708815401,9.460979639548304,259.58320462995846,284.990371378556,271.727696818427,0.012715530395507813,0.06357765197753906
Rosenbrock,5029.414457465263,2481.0367098332636,1305.125169378044,8630.65555908902,5027.201255408601,0.016289329528808592,0.08144664764404297
